Feature ID,Taxon,Confidence
59eda85ecbe11d74341c89eb29db7307,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996811503
5bd0e30a11b2533c66af2374cefd2730,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.99565339
6aed4cdf40f94e16bb7c1dc72ffb634a,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana,0.965131962
51c8541e112cc1970dde471e4f13dff7,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana,0.977881657
d9ce2f75ee78c05554f1533263add618,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996035768
0b8ae4e6b3097c71f73a82a3940400ad,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996287239
9a7ed5deed58e8dd74633a0080580c07,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996612561
a96549a1d633caa528ec508dc783e9a5,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana,0.966929501
9bbe2e59a7258ff3ef82b130d4753639,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.995983633
297ae6192abc1849a681f23f823e0ddd,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.995638982
205837861d34f2f3b79d6bded3dd79ed,k__Fungi,1
36beb25f2151b81343e8e53d0b5ba573,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996961695
5290582a7a1398eb0103921f9dd79239,k__Fungi,1
aa6c13a47f27086faacd2c20ab1cab38,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_wieringae,0.996167898
200fc1cd14fed34b319e535012b2cae8,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_tassiana,0.971478124
